Time,Data
3.080000000000000071e+00,1.233098283229203247e+02
3.100000000000000089e+00,1.271060524436044687e+02
3.120000000000000107e+00,1.270431899407408309e+02
3.140000000000000124e+00,1.291115825669692470e+02
3.160000000000000142e+00,1.311007656883053301e+02
3.180000000000000160e+00,1.331995292221268414e+02
3.200000000000000178e+00,1.339959828267182615e+02
3.220000000000000195e+00,1.374776249715548317e+02
3.240000000000000213e+00,1.372314154954532626e+02
3.260000000000000231e+00,1.402438512398931039e+02
3.280000000000000249e+00,1.407010443273346425e+02
3.300000000000000266e+00,1.415888026393269001e+02
3.320000000000000284e+00,1.406927120366953545e+02
3.339999999999999858e+00,1.419982198541972593e+02
3.359999999999999876e+00,1.432907191947857370e+02
3.379999999999999893e+00,1.419556335440795181e+02
3.399999999999999911e+00,1.411785012238095192e+02
3.419999999999999929e+00,1.445450592039279343e+02
3.439999999999999947e+00,1.472413257967046718e+02
3.459999999999999964e+00,1.460536817624876846e+02
3.479999999999999982e+00,1.499689493658244999e+02
3.500000000000000000e+00,1.515744689322875729e+02
3.520000000000000018e+00,1.492581724705441104e+02
3.540000000000000036e+00,1.486086539408848353e+02
3.560000000000000053e+00,1.522152357704792962e+02
3.580000000000000071e+00,1.534680312369503099e+02
3.600000000000000089e+00,1.561580023653346245e+02
3.620000000000000107e+00,1.596770130089890642e+02
3.640000000000000124e+00,1.610178768123655857e+02
3.660000000000000142e+00,1.615743997826592420e+02
3.680000000000000160e+00,1.607414172279642059e+02
3.700000000000000178e+00,1.585148248515833984e+02
3.720000000000000195e+00,1.570916038253413376e+02
3.740000000000000213e+00,1.532698396989605101e+02
3.760000000000000231e+00,1.506487350375864764e+02
3.780000000000000249e+00,1.474286157151830707e+02
3.800000000000000266e+00,1.482109308275668980e+02
3.820000000000000284e+00,1.463982462251047707e+02
3.839999999999999858e+00,1.439942317013505999e+02
3.859999999999999876e+00,1.402036419099468958e+02
3.879999999999999893e+00,1.370322911177526635e+02
3.899999999999999911e+00,1.342870219371826579e+02
3.919999999999999929e+00,1.315756682149555274e+02
3.939999999999999947e+00,1.317070122876510538e+02
3.959999999999999964e+00,1.318907368464876697e+02
3.979999999999999982e+00,1.289373716843618638e+02
4.000000000000000000e+00,1.242582356272725974e+02
4.020000000000000462e+00,1.196653739796168168e+02
4.040000000000000036e+00,1.137714918383346969e+02
4.060000000000000497e+00,1.081898836543577289e+02
4.080000000000000071e+00,1.077343594411371015e+02
4.099999999999999645e+00,1.028191680490837143e+02
4.120000000000000107e+00,9.765891794142332571e+01
4.139999999999999680e+00,9.406849592117006864e+01
4.160000000000000142e+00,8.946298427056451885e+01
4.179999999999999716e+00,8.385757677334558480e+01
4.200000000000000178e+00,7.906749409657392391e+01
4.219999999999999751e+00,7.750789901236706214e+01
4.240000000000000213e+00,7.359381194081652211e+01
4.259999999999999787e+00,6.894002729353610448e+01
4.280000000000000249e+00,6.636103109274083067e+01
4.299999999999999822e+00,6.447092033351341911e+01
4.320000000000000284e+00,6.128332454701005361e+01
4.339999999999999858e+00,6.021133000985530259e+01
4.360000000000000320e+00,5.806740702994096637e+01
4.379999999999999893e+00,5.326334072136764775e+01
4.400000000000000355e+00,5.021016566144258775e+01
4.419999999999999929e+00,4.691810480059361765e+01
4.440000000000000391e+00,4.179651297189470682e+01
4.459999999999999964e+00,4.125382532076759645e+01
4.480000000000000426e+00,4.109751094746805933e+01
4.500000000000000000e+00,3.953403202535067607e+01
4.520000000000000462e+00,3.596880862679338975e+01
4.540000000000000036e+00,3.660618945623627951e+01
4.560000000000000497e+00,3.624942865622599442e+01
4.580000000000000071e+00,3.430066881785467103e+01
4.600000000000000533e+00,3.256093029172998143e+01
4.620000000000000107e+00,3.383010685981778920e+01
4.639999999999999680e+00,3.310696779235813381e+01
4.660000000000000142e+00,3.058916627777915309e+01
4.679999999999999716e+00,2.947325417732497499e+01
4.700000000000000178e+00,3.035470302018013911e+01
4.719999999999999751e+00,2.842793111941761808e+01
4.740000000000000213e+00,2.668633665432311375e+01
4.759999999999999787e+00,2.752233653075046860e+01
4.780000000000000249e+00,2.752741079833637983e+01
4.799999999999999822e+00,2.829215237183244724e+01
4.820000000000000284e+00,3.200632177367855746e+01
4.839999999999999858e+00,3.405890658641510527e+01
4.860000000000000320e+00,3.623818527677509849e+01
4.879999999999999893e+00,3.893179502846106743e+01
4.900000000000000355e+00,4.072680319783991365e+01
4.919999999999999929e+00,4.060978198620762214e+01
4.940000000000000391e+00,4.176688590400468115e+01
4.959999999999999964e+00,4.198393158650402768e+01
4.980000000000000426e+00,4.204647950713825111e+01
5.000000000000000000e+00,4.453991712385506219e+01
5.020000000000000462e+00,4.744954298575425611e+01
5.040000000000000036e+00,5.056065132180829380e+01
5.060000000000000497e+00,5.365861663073582832e+01
5.080000000000000071e+00,5.552897779109692777e+01
5.100000000000000533e+00,5.895752121341175211e+01
5.120000000000000107e+00,5.913036256155362480e+01
5.139999999999999680e+00,6.263402657880389057e+01
5.160000000000000142e+00,6.525552456473242557e+01
5.179999999999999716e+00,7.018242906242217316e+01
5.200000000000000178e+00,7.000294533141435238e+01
5.219999999999999751e+00,7.450597920002221031e+01
5.240000000000000213e+00,7.428120091124056046e+01
5.259999999999999787e+00,7.231910459925093448e+01
5.280000000000000249e+00,7.041106305835612034e+01
5.299999999999999822e+00,7.234937749293538900e+01
5.320000000000000284e+00,6.992732196553620838e+01
5.339999999999999858e+00,6.993918229035249112e+01
5.360000000000000320e+00,7.238028915090852422e+01
5.379999999999999893e+00,7.504704525359437639e+01
5.400000000000000355e+00,7.173694636259484980e+01
5.419999999999999929e+00,7.084859609652899337e+01
5.440000000000000391e+00,6.938171440257107747e+01
5.459999999999999964e+00,6.613713965975769327e+01
5.480000000000000426e+00,6.551682439939260405e+01
5.500000000000000000e+00,6.592382466673799968e+01
5.520000000000000462e+00,6.556228308431896323e+01
5.540000000000000036e+00,6.423740571296482926e+01
5.560000000000000497e+00,6.495543284196072875e+01
5.580000000000000071e+00,6.352360387418600851e+01
5.600000000000000533e+00,5.995011650567778361e+01
5.620000000000000107e+00,5.844408043148509080e+01
5.639999999999999680e+00,5.741546584078983528e+01
5.660000000000000142e+00,5.427504699388646969e+01
5.679999999999999716e+00,5.223434120156608174e+01
5.700000000000000178e+00,5.090554355358260352e+01
5.719999999999999751e+00,4.750145776704113842e+01
5.740000000000000213e+00,4.703542354760312350e+01
5.759999999999999787e+00,4.552124087622636495e+01
5.780000000000000249e+00,4.117309165163447204e+01
5.799999999999999822e+00,4.000545913374404705e+01
5.820000000000000284e+00,4.103304564578039049e+01
5.839999999999999858e+00,3.807068900271547562e+01
5.860000000000000320e+00,3.393327814090587680e+01
5.879999999999999893e+00,3.243566842835622310e+01
5.900000000000000355e+00,3.099259713685516004e+01
5.919999999999999929e+00,2.661859955631933872e+01
5.940000000000000391e+00,2.472792622803920182e+01
5.959999999999999964e+00,2.313446176717053859e+01
5.980000000000000426e+00,1.925164573579236915e+01
6.000000000000000000e+00,1.509239601620858728e+01
6.020000000000000462e+00,1.306903511997065515e+01
6.040000000000000036e+00,9.793219851425472910e+00
6.060000000000000497e+00,7.442025378403109848e+00
6.080000000000000071e+00,7.293280171284550306e+00
6.100000000000000533e+00,7.122411958363140450e+00
6.120000000000000107e+00,5.181094009589006788e+00
6.140000000000000568e+00,4.590139604258392403e+00
6.160000000000000142e+00,4.633120984349461402e+00
6.179999999999999716e+00,3.647726807617225120e+00
6.200000000000000178e+00,2.472129116593420939e+00
6.219999999999999751e+00,3.266258778531296869e+00
6.240000000000000213e+00,5.518844025697504208e+00
6.259999999999999787e+00,8.387585522388862458e+00
6.280000000000000249e+00,8.872358176420926057e+00
6.299999999999999822e+00,1.037190913259520819e+01
6.320000000000000284e+00,1.128386418763155241e+01
6.339999999999999858e+00,1.160474055038654484e+01
6.360000000000000320e+00,1.092996587504713624e+01
6.379999999999999893e+00,1.485390345935058320e+01
6.400000000000000355e+00,1.576988346485872405e+01
6.419999999999999929e+00,1.987023998210215936e+01
6.440000000000000391e+00,2.154635373020584055e+01
6.459999999999999964e+00,2.378870014859707638e+01
6.480000000000000426e+00,2.238690260776622054e+01
6.500000000000000000e+00,2.812979043696772408e+01
6.520000000000000462e+00,3.020546143938677375e+01
6.540000000000000036e+00,3.340134853980310226e+01
6.560000000000000497e+00,3.750429018630952527e+01
6.580000000000000071e+00,4.470060410631663217e+01
6.600000000000000533e+00,4.477616399802322178e+01
6.620000000000000107e+00,4.951647872185655785e+01
6.640000000000000568e+00,5.110677354218904611e+01
6.660000000000000142e+00,5.633207295799279279e+01
6.679999999999999716e+00,5.657728465207148361e+01
6.700000000000000178e+00,6.322728408215853335e+01
6.719999999999999751e+00,6.406699923352944381e+01
6.740000000000000213e+00,6.828149505186424051e+01
6.759999999999999787e+00,6.825605707691804014e+01
6.780000000000000249e+00,7.097627380210545311e+01
6.799999999999999822e+00,7.302811729234826998e+01
6.820000000000000284e+00,7.539802160243986862e+01
6.839999999999999858e+00,7.847295855068117021e+01
6.860000000000000320e+00,8.324051041757810765e+01
6.879999999999999893e+00,8.888893915686585956e+01
6.900000000000000355e+00,9.260725172595016375e+01
6.919999999999999929e+00,9.578526116490907327e+01
6.940000000000000391e+00,9.661364307736258183e+01
